kemendagri_kota_nama;latitude;longitude
KAB. BOGOR;-6.479.679;106.824.965
KAB. SUKABUMI;-6.915.727;106.932.576
KAB. CIANJUR;-6.822.558;107.139.542
KAB. BANDUNG;-7.012.851;107.528.627
KAB. GARUT;-7.202.988;107.885.592
KAB. TASIKMALAYA;-7.361.212;108.112.488
KAB. CIAMIS;-7.325.788;1.083.514
KAB. KUNINGAN;-6.976.233;108.482.982
KAB. CIREBON;-6.764.507;108.478.858
KAB. MAJALENGKA;-6.836.531;108.227.876
KAB. SUMEDANG;-6.861.126;107.920.102
KAB. INDRAMAYU;-6.327.234;108.322.903
KAB. SUBANG;-6.571.549;107.762.495
KAB. PURWAKARTA;-6.551.701;107.446.541
KAB. KARAWANG;-6.301.721;10.730.529
KAB. BEKASI;-6.364.614;107.172.509
KAB. BANDUNG BARAT;-6.840.651;107.512.302
KAB. PANGANDARAN;-7.701.397;108.495.155
KOTA BOGOR;-6.594.946;106.794.913
KOTA SUKABUMI;-6.918.366;106.931.496
KOTA BANDUNG;-6.910.786;107.609.757
KOTA CIREBON;-6.707.076;108.557.818
KOTA BEKASI;-6.236.221;106.994.293
KOTA DEPOK;-6.394.473;106.822.692
KOTA CIMAHI;-687.121;107.555.486
KOTA TASIKMALAYA;-7.316.436;1.081.971
KOTA BANJAR;-7.362.487;10.855.887
